[2022-02-09 18:06:14][INFO] Alpha VS Rate program start!
[2022-02-09 18:09:08][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:09][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:09:10][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:09:11][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:12][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:09:13][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:09:14][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:15][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:16][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:17][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 73                           
[2022-02-09 18:09:19][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 113                           
[2022-02-09 18:09:20][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:09:21][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 71                           
[2022-02-09 18:09:22][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 57                           
[2022-02-09 18:09:23][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 69                           
[2022-02-09 18:09:24][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:25][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 64                           
[2022-02-09 18:09:27][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 69                           
[2022-02-09 18:09:28][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 55                           
[2022-02-09 18:09:29][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:30][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:09:30][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 50                           
[2022-02-09 18:09:31][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 57                           
[2022-02-09 18:09:32][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:09:33][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 63                           
[2022-02-09 18:09:35][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 65                           
[2022-02-09 18:09:36][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 84                           
[2022-02-09 18:09:37][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:38][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
